Retailer,Address,City,State,"Postal Code",Supplier,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key"
"Gene's Haufbrau - Avondale (CHS)","817 Savannah Highway",Charleston,SC,29407,"Island Brands",32.781874,-79.985867,1,rooftop,"817 Savannah Hwy",,"Charleston, SC 29407",817,"Savannah Hwy",,,Charleston,SC,"Charleston County",29407,US,"Charleston County GIS",gcod_usn84spdtwcpkaebwf3fnnx6mcctf
"Cat Island Club (CHS)","8 Waveland Avenue",Beaufort,SC,29907,"Island Brands",32.367046,-80.651368,1,rooftop,"8 Waveland Ave",,"Beaufort, SC 29907",8,"Waveland Ave",,,Beaufort,SC,"Beaufort County",29907,US,Beaufort,gcod_usnbgyrf5qakkjeckl8y8da36rqzh
"Saltwater Cowboys (CHS)","130 Mill Street","Mount Pleasant",SC,29464,"Island Brands",32.791552,-79.881882,1,rooftop,"130 Mill St",,"Mount Pleasant, SC 29464",130,"Mill St",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnjsyjpx3chj324d59t6p63d4u9e
"Daniel Island Ferry Boat (CHS)","10 Wharfside Street",Charleston,SC,29403,"Island Brands",32.788317,-79.925198,0.99,rooftop,"10 Wharfside St",,"Charleston, SC 29401",10,"Wharfside St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usnhucjacc7yq2ee75v3275765rv9
"Red's Ice House-Shem (CHS)","98 Church Street","Mount Pleasant",SC,29464,"Island Brands",32.791517,-79.88118,1,range_interpolation,"98 Church St",,"Mount Pleasant, SC 29464",98,"Church St",,,"Mount Pleasant",SC,"Charleston County",29464,US,"TIGER/Line® from the US Census Bureau",gcod_usnc6ckgrcvygqdc7lyyuzcx5758d
"Gaillard Center - Calhoun (CHS)","95 Calhoun Street",Charleston,SC,29401,"Island Brands",32.786976,-79.93107,1,rooftop,"95 Calhoun St",,"Charleston, SC 29401",95,"Calhoun St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usn2nl52a6n4z9d9xmgd85hdymy8c
"Pages Okra Grill (CHS)","302 Coleman Boulevard","Mount Pleasant",SC,29464,"Island Brands",32.790802,-79.877246,1,rooftop,"302 Coleman Blvd",,"Mount Pleasant, SC 29464",302,"Coleman Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnstsra729yz4t4bxqmgep5xqm77
"Top Dawg Tavern - HHI (CHS)","13 Harbourside Lane","Hilton Head Island",SC,29928-3599,"Island Brands",32.18053,-80.728561,1,rooftop,"13 Harbourside Ln",,"Hilton Head Island, SC 29928",13,"Harbourside Ln",,,"Hilton Head Island",SC,"Beaufort County",29928,US,Beaufort,gcod_usnp2et9n5j9mvdfelz26lefc5hde
"Islander 71 - IOP (CHS)","80 41st Avenue","Isle Of Palms",SC,29451,"Island Brands",32.804349,-79.760574,1,range_interpolation,"80 41st Ave",,"Isle of Palms, SC 29451",80,"41st Ave",,,"Isle of Palms",SC,"Charleston County",29451,US,"TIGER/Line® from the US Census Bureau",gcod_usnnnakdzub45addssc7bbx2qqvc2
"Municipal Golf - Maybank (CHS)","2110 Maybank Highway",Charleston,SC,29412,"Island Brands",32.756479,-79.994775,1,rooftop,"2110 Maybank Hwy",,"Charleston, SC 29412",2110,"Maybank Hwy",,,Charleston,SC,"Charleston County",29412,US,"Charleston County GIS",gcod_usnhlgspal559gt9zg69rbs45ds93
"The Shem Creek Inn (CHS)","1401 Shrimp Boat Lane","Mount Pleasant",SC,29464,"Island Brands",32.792718,-79.882562,1,rooftop,"1401 Shrimp Boat Ln",,"Mount Pleasant, SC 29464",1401,"Shrimp Boat Ln",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usn4v3j2c7b6t2n8yahu5v47adzea
"Dinghy (CHS)","8 J C Long Blvd","Isle Of Palms",SC,29451,"Island Brands",32.785383,-79.789906,1,rooftop,"8 J C Long Blvd",,"Isle of Palms, SC 29451",8,"J C Long Blvd",,,"Isle of Palms",SC,"Charleston County",29451,US,"Statewide SC",gcod_usn9c8f3rfd5r26cs4bp67m9zdb68
"Mainland Container Co (CHS)","1528 Ben Sawyer Boulevard","Mount Pleasant",SC,29464,"Island Brands",32.789353,-79.850885,1,rooftop,"1528 Ben Sawyer Blvd",,"Mount Pleasant, SC 29464",1528,"Ben Sawyer Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usn4drgl74yfzesh4j37xbvnahbza
"Mercantile & Mash (CHS)","701 East Bay Street",Charleston,SC,29403,"Island Brands",32.79762,-79.934842,1,rooftop,"701 E Bay St",,"Charleston, SC 29403",701,"E Bay St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usn9nhveyx42tdrbguqvnwsycpdud
"Crosby's Fish & Shrimp (CHS)","2223 Folly Road",Charleston,SC,29412,"Island Brands",32.674535,-79.950353,1,rooftop,"2223 Folly Rd",,"Charleston, SC 29412",2223,"Folly Rd",,,Charleston,SC,"Charleston County",29412,US,"Statewide SC",gcod_usn8vewwym3yhyn4nupqxjprpmmg4
"Up the Creek at Broad Creek Marina (CHS)","18 Simmons Road","Hilton Head Island",SC,29926-2322,"Island Brands",32.185255,-80.756896,1,rooftop,"18 Simmons Rd",,"Hilton Head Island, SC 29926",18,"Simmons Rd",,,"Hilton Head Island",SC,"Beaufort County",29926,US,Beaufort,gcod_usnu63ytvgc3lr945thmdyqjnm97f
"Whaley's Store (CHS)","2801 Myrtle Street","Edisto Island",SC,29438,"Island Brands",32.480782,-80.333994,1,rooftop,"2801 Myrtle St",,"Edisto Island, SC 29438",2801,"Myrtle St",,,"Edisto Island",SC,"Colleton County",29438,US,"Statewide SC",gcod_usndnsfrupvzemd7lkwa4h4kltfe2
"IOP Marina Outpost (CHS)","50 41st Avenue","Isle Of Palms",SC,29451,"Island Brands",32.80526,-79.759724,1,rooftop,"50 41st Ave",,"Isle of Palms, SC 29451",50,"41st Ave",,,"Isle of Palms",SC,"Charleston County",29451,US,Charleston,gcod_usnlxs8sllpvcvxfu4hhb3wmlcmg3
"Stono Market - Johns Island (CHS)","842 Main Road","Johns Island",SC,29455,"Island Brands",32.760852,-80.106873,1,rooftop,"842 Main Rd",,"Johns Island, SC 29455",842,"Main Rd",,,"Johns Island",SC,"Charleston County",29455,US,"Statewide SC",gcod_usnukbeh6qvvuhp7j6t2f4wg5fu37
"Top Golf (CHS)","500 Top Golf Way","North Charleston",SC,29418,"Island Brands",33.118619,-80.1834,0.72,nearest_rooftop_match,"468 Tapp Ln",,"Summerville, SC 29486",468,"Tapp Ln",,,Summerville,SC,"Berkeley County",29486,US,Berkeley,gcod_usn7d88p8glwejkgksb8sxtrpswj8
"The Dime - Daniel Island (CHS)","30 River Landing Drive",Charleston,SC,29492,"Island Brands",32.855462,-79.903619,1,rooftop,"30 River Landing Dr",,"Daniel Island, SC 29492",30,"River Landing Dr",,,"Daniel Island",SC,"Berkeley County",29492,US,Berkeley,gcod_usn6bw2wavd32852yegznwguv7ywa
"Sanctuary - Kiawah (CHS)","1 Sanctuary Drive","Kiawah Island",SC,29455,"Island Brands",32.601285,-80.092226,0.9,rooftop,"1 Sanctuary Beach Dr",,"Johns Island, SC 29455",1,"Sanctuary Beach Dr",,,"Johns Island",SC,"Charleston County",29455,US,"Statewide SC",gcod_usnf6v752bnya5feyjhrachubyr82
"Daniel Island Club (CHS)","600 Island Park Drive","Daniel Island",SC,29492-7586,"Island Brands",32.882758,-79.905586,1,rooftop,"600 Island Park Dr",,"Daniel Island, SC 29492",600,"Island Park Dr",,,"Daniel Island",SC,"Berkeley County",29492,US,Berkeley,gcod_usnfu34ru7esvzsej6p28urjna3xc
"Halls Chop House - King St (CHS)","434 King Street",Charleston,SC,29403,"Island Brands",32.788506,-79.9379,1,rooftop,"434 King St",,"Charleston, SC 29403",434,"King St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usn2dwm2dywj3juaq53mfuxjtueeh
"Nantucket Market - Bluffton (CHS)","1414 Fording Island Road",Bluffton,SC,29910,"Island Brands",32.240355,-80.817683,1,rooftop,"1414 US-278",,"Bluffton, SC 29910",1414,US-278,,,Bluffton,SC,"Beaufort County",29910,US,Beaufort,gcod_usncty3nzmya4rz42w4bzj2fd7jz9
"Spectator Hotel (CHS)","67 State Street",Charleston,SC,29401,"Island Brands",32.780551,-79.928595,1,rooftop,"67 State St",,"Charleston, SC 29401",67,"State St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usnaerz9qgeskcu66l2npewpaeph4
"Scratch Italian Kitchen (CHS)","831 Parris Island Gateway",Beaufort,SC,29906,"Island Brands",32.380671,-80.727712,1,rooftop,"831 Parris Island Gtwy",,"Beaufort, SC 29906",831,"Parris Island Gtwy",,,Beaufort,SC,"Beaufort County",29906,US,Beaufort,gcod_usnazcwxt7qh6gmh8mhx79t9rfnuh
"Marriott - HHI Grande Ocean (CHS)","51 South Forest Beach Drive","Hilton Head Island",SC,29928-6220,"Island Brands",32.136457,-80.763083,1,rooftop,"51 S Forest Beach Dr",,"Hilton Head Island, SC 29928",51,"S Forest Beach Dr",,,"Hilton Head Island",SC,"Beaufort County",29928,US,Beaufort,gcod_usnkxl9jj2ratkxhybv5a99y4pj47
"Coastal Marina (CHS)","50 Immigration Street",Charleston,SC,29403,"Island Brands",32.802006,-79.931929,1,rooftop,"50 Immigration St",,"Charleston, SC 29403",50,"Immigration St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usndvwj249kpfl2dfawr6faqq5357
"The Clubhouse (CHS)","476 Meeting Street",Charleston,SC,29403,"Island Brands",32.795693,-79.939704,1,rooftop,"476 Meeting St",,"Charleston, SC 29403",476,"Meeting St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usnjbtkxpk6sfw962u9pdv7uy5a58
"Cutty's - St Philip (CHS)","227 Saint Philip Street",Charleston,SC,29403,"Island Brands",32.793345,-79.943328,1,rooftop,"227 St Philip St",,"Charleston, SC 29403",227,"St Philip St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usny75muq43pnjdb99rfdawgxpnx9
"Ms. Roses (CHS)","1090 Sam Rittenberg Boulevard",Charleston,SC,29407,"Rusty Bull Brewing Company",32.822413,-79.992264,1,rooftop,"1090 Sam Rittenberg Blvd",,"Charleston, SC 29407",1090,"Sam Rittenberg Blvd",,,Charleston,SC,"Charleston County",29407,US,"Charleston County GIS",gcod_usngraghaq6me4f9wr2r6h37uclt7
"Doubletree - Tanger (CHS)","5264 International Boulevard","North Charleston",SC,29418,"Rusty Bull Brewing Company",32.870311,-80.024778,1,rooftop,"5264 International Blvd",,"North Charleston, SC 29418",5264,"International Blvd",,,"North Charleston",SC,"Charleston County",29418,US,"Charleston County GIS",gcod_usnl87s96erxaavhn83kcj9zl2p44
"Carolina Ale House - Nexton (CHS)","191 Sigma Drive",Summerville,SC,29486-7789,"Rusty Bull Brewing Company",33.039403,-80.144534,1,rooftop,"191 Sigma Dr",,"Summerville, SC 29486",191,"Sigma Dr",,,Summerville,SC,"Berkeley County",29486,US,Berkeley,gcod_usndwauju84pu5527yu8ttr29ad3f
"Darling Oyster Bar (CHS)","513 King Street",Charleston,SC,29403,"Rusty Bull Brewing Company",32.790349,-79.93951,1,rooftop,"513 King St",,"Charleston, SC 29403",513,"King St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usn2dwm2dywj3jua3r6nckel9yxbf
"Toast All Day King (CHS)","451 King Street",Charleston,SC,29403,"Rusty Bull Brewing Company",32.788559,-79.938348,1,rooftop,"451 King St",,"Charleston, SC 29403",451,"King St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usn2dwm2dywj3juab8pa4ldb45gsh
"Madra Rua - Park Circle (CHS)","1034 East Montague Avenue","North Charleston",SC,29405,"Rusty Bull Brewing Company",32.881761,-79.975188,1,rooftop,"1034 E Montague Ave",,"North Charleston, SC 29405",1034,"E Montague Ave",,,"North Charleston",SC,"Charleston County",29405,US,"Charleston County GIS",gcod_usnd57utpkg2zx45hxqx782zap5t6
"Jinya Ramen Bar (CHS)","95 Mathews Drive F 3-5","Hilton Head Island",SC,29926,"Rusty Bull Brewing Company",32.21104,-80.700752,1,rooftop,"95 Mathews Dr","Ste B5","Hilton Head Island, SC 29926",95,"Mathews Dr",Ste,B5,"Hilton Head Island",SC,"Beaufort County",29926,US,Beaufort,gcod_usnnp5hl2mq29fvaut28rzm9uyup4
"Obstinate Daughter (CHS)","2063 Middle Street","Sullivans Island",SC,29482,"Rusty Bull Brewing Company",32.761309,-79.839316,1,rooftop,"2063 Middle St",,"Sullivans Island, SC 29482",2063,"Middle St",,,"Sullivans Island",SC,"Charleston County",29482,US,"Statewide SC",gcod_usnyjfwp23bczmgatbhaa6u28uglb
"One Hot Mamas - HHI (CHS)","35 Office Park Road","Hilton Head Island",SC,29928,"Rusty Bull Brewing Company",32.154252,-80.766932,1,rooftop,"35 Office Park Rd",,"Hilton Head Island, SC 29928",35,"Office Park Rd",,,"Hilton Head Island",SC,"Beaufort County",29928,US,Beaufort,gcod_usnkgetvlln89s3gd9j4k5fajvbyb
"Gaillard Center - Calhoun (CHS)","95 Calhoun Street",Charleston,SC,29401,"Rusty Bull Brewing Company",32.786976,-79.93107,1,rooftop,"95 Calhoun St",,"Charleston, SC 29401",95,"Calhoun St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usn2nl52a6n4z9d9xmgd85hdymy8c
"Joey Tomatoes (CHS)","1034 Chuck Dawley Boulevard","Mount Pleasant",SC,29464,"Rusty Bull Brewing Company",32.797721,-79.859269,1,rooftop,"1034 Chuck Dawley Blvd",,"Mount Pleasant, SC 29464",1034,"Chuck Dawley Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnr9df57788qxpd5tgea4cdhds33
"Tobacco & Wine - Oakland (CHS)","1173 Oakland Market Road","Mount Pleasant",SC,29466,"Rusty Bull Brewing Company",32.862426,-79.785279,1,rooftop,"1173 Oakland Market Rd",,"Mount Pleasant, SC 29466",1173,"Oakland Market Rd",,,"Mount Pleasant",SC,"Charleston County",29466,US,"Charleston County GIS",gcod_usncltub85d8ljqe8kxp66p8njhbd
"Rappahannock Oyster Bar (CHS)","701 East Bay Street",Charleston,SC,29403,"Rusty Bull Brewing Company",32.79762,-79.934842,1,rooftop,"701 E Bay St",,"Charleston, SC 29403",701,"E Bay St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usn9nhveyx42tdrbguqvnwsycpdud
"T-Bonz-Downtown (CHS)","80 North Market Street",Charleston,SC,29401,"Rusty Bull Brewing Company",32.78109,-79.930113,1,rooftop,"80 N Market St",,"Charleston, SC 29401",80,"N Market St",,,Charleston,SC,"Charleston County",29401,US,"Charleston County GIS",gcod_usn4rrfw3xuth5ac7kts7kjd6wmt4
"Windjammer (CHS)","1008 Ocean Boulevard","Isle Of Palms",SC,29451,"Rusty Bull Brewing Company",32.784618,-79.790114,1,rooftop,"1008 Ocean Blvd",,"Isle of Palms, SC 29451",1008,"Ocean Blvd",,,"Isle of Palms",SC,"Charleston County",29451,US,"Statewide SC",gcod_usn9wdmyvjg9m486h8qk9tr5857l8
"Longhorn Steakhouse #5202 (CHS)","7258 Rivers Avenue","North Charleston",SC,29406,"Rusty Bull Brewing Company",32.930832,-80.036333,1,range_interpolation,"7258 Rivers Ave",,"North Charleston, SC 29406",7258,"Rivers Ave",,,"North Charleston",SC,"Charleston County",29406,US,"TIGER/Line® from the US Census Bureau",gcod_usnqgh6w5rus53harwt8w83frgbda
"Maybank Public House (CHS)","1970 Maybank Highway",Charleston,SC,29412,"Rusty Bull Brewing Company",32.762814,-79.986697,1,rooftop,"1970 Maybank Hwy",,"Charleston, SC 29412",1970,"Maybank Hwy",,,Charleston,SC,"Charleston County",29412,US,"Charleston County GIS",gcod_usnhlgspal559gt98b7dj44hcqjka
"Drury Plaza Hotel North Charleston (CHS)","2934 West Montegue Avenue","North Charleston",SC,29418,"Rusty Bull Brewing Company",32.869771,-80.01312,1,rooftop,"2934 W Montague Ave",,"North Charleston, SC 29418",2934,"W Montague Ave",,,"North Charleston",SC,"Charleston County",29418,US,"Charleston County GIS",gcod_usn68e8jn34l3l3hw57cw8thbuhdd
"Foolish Frog - St Helena (CHS)","846 Sea Island Parkway","Saint Helena",SC,29920-3902,"Rusty Bull Brewing Company",32.396576,-80.578052,1,rooftop,"846 Sea Island Pkwy",,"Saint Helena Island, SC 29920",846,"Sea Island Pkwy",,,"Saint Helena Island",SC,"Beaufort County",29920,US,Beaufort,gcod_usnnsy7fwercp7v7pxeewdbzu37fa
"Logan's Roadhouse (CHS)","211 Azalea Square Boulevard",Summerville,SC,29483-7323,"Rusty Bull Brewing Company",33.037268,-80.158793,1,rooftop,"211 Azalea Square Blvd",,"Summerville, SC 29483",211,"Azalea Square Blvd",,,Summerville,SC,"Berkeley County",29483,US,Berkeley,gcod_usny79auv9wyayhd2y2rsmwchn82a
"Callawassie Island Club (CHS)","22 Callawassie Club Drive",Okatie,SC,29909,"Rusty Bull Brewing Company",32.327679,-80.852023,1,rooftop,"22 Callawassie Club Dr",,"Okatie, SC 29909",22,"Callawassie Club Dr",,,Okatie,SC,"Beaufort County",29909,US,Beaufort,gcod_usnrtzzdgz7j4ythjnqgnaad4dnqc
"Life of Luxe (CHS)","1420 Central Avenue",Summerville,SC,29458,"Rusty Bull Brewing Company",32.760959,-79.842648,0.63,street_center,"Central Ave",,"Sullivans Island, SC 29482",,"Central Ave",,,"Sullivans Island",SC,"Charleston County",29482,US,"TIGER/Line® dataset from the US Census Bureau",gcod_uss7rzy2s9ps9h9g
"Coots Bar And Grill (CHS)","102 Palmetto Boulevard","Edisto Island",SC,29438,"Rusty Bull Brewing Company",32.502992,-80.296523,1,rooftop,"102 Palmetto Blvd",,"Edisto Island, SC 29438",102,"Palmetto Blvd",,,"Edisto Island",SC,"Colleton County",29438,US,"Statewide SC",gcod_usnqjwuqs8hsw2mcbkztspscd6j26
"Tail Race Tavern (CHS)","418 Barony Street","Moncks Corner",SC,29461,"Rusty Bull Brewing Company",33.199941,-79.990019,1,rooftop,"418 Barony St",,"Moncks Corner, SC 29461",418,"Barony St",,,"Moncks Corner",SC,"Berkeley County",29461,US,Berkeley,gcod_usnsz9tdvgr4ltq52ra6qgs468vna
"Tailgators Bar & Grill (CHS)","1108 Argent Boulevard",Ridgeland,SC,29936,"Rusty Bull Brewing Company",32.313348,-80.962756,1,rooftop,"1108 Argent Blvd",,"Ridgeland, SC 29936",1108,"Argent Blvd",,,Ridgeland,SC,"Jasper County",29936,US,Jasper,gcod_usn5plqzszfqstucr79sjzrnsw9k8
"Moe's Crosstown Tavern - Rutledge (CHS)","714 Rutledge Avenue",Charleston,SC,29403,"Rusty Bull Brewing Company",32.802254,-79.952868,1,rooftop,"714 Rutledge Ave",,"Charleston, SC 29403",714,"Rutledge Ave",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usnx6uj7zngdtza84bucwbtr7m52c
"Roost - Avondale (CHS)","825 Savannah Highway",Charleston,SC,29407,"Rusty Bull Brewing Company",32.781888,-79.986209,1,rooftop,"825 Savannah Hwy",,"Charleston, SC 29407",825,"Savannah Hwy",,,Charleston,SC,"Charleston County",29407,US,"Charleston County GIS",gcod_usn84spdtwcpkaeb4lvaz5hvjsedb
"Brodys Bar & Grill (CHS)","47 Ferry Drive",Beaufort,SC,29907-1640,"Rusty Bull Brewing Company",32.411473,-80.65227,1,rooftop,"47 Ferry Dr",,"Beaufort, SC 29907",47,"Ferry Dr",,,Beaufort,SC,"Beaufort County",29907,US,Beaufort,gcod_usnnn5dnnpry9g92clwrad6rskcu8
"CHS Airport – Delaware (CHS)","5500 International Boulevard",Charleston,SC,29418-6900,"Rusty Bull Brewing Company",32.884199,-80.034632,1,rooftop,"5500 International Blvd",,"North Charleston, SC 29418",5500,"International Blvd",,,"North Charleston",SC,"Charleston County",29418,US,"Charleston County GIS",gcod_usnl87s96erxaavhkz2slylhk3jt5
"Page's Okra Grill - Summerville (CHS)","142 Brighton Park Boulevard",Summerville,SC,29464,"Rusty Bull Brewing Company",33.042964,-80.140288,0.99,rooftop,"142 Brighton Park Blvd",,"Summerville, SC 29486",142,"Brighton Park Blvd",,,Summerville,SC,"Berkeley County",29486,US,Berkeley,gcod_usnmelthsh8humh7eu39hcep7nqu5
"Katsubo Chicken & Ramen (CHS)","4628 Spruill Avenue",Charleston,SC,29407,"Rusty Bull Brewing Company",32.879329,-79.979953,0.99,rooftop,"4628 Spruill Ave",,"North Charleston, SC 29405",4628,"Spruill Ave",,,"North Charleston",SC,"Charleston County",29405,US,"Charleston County GIS",gcod_usnnmyzuqn3225hhadnelm9s86swa
"CHS Airport – Club (CHS)","5500 International Boulevard","North Charleston",SC,29418-6900,"Rusty Bull Brewing Company",32.884199,-80.034632,1,rooftop,"5500 International Blvd",,"North Charleston, SC 29418",5500,"International Blvd",,,"North Charleston",SC,"Charleston County",29418,US,"Charleston County GIS",gcod_usnl87s96erxaavhkz2slylhk3jt5
"Hilton Head National (CHS)","60 Hilton Head National Drive",Bluffton,SC,29910-6551,"Rusty Bull Brewing Company",32.235495,-80.826546,1,rooftop,"60 Hilton Head National Dr",,"Bluffton, SC 29910",60,"Hilton Head National Dr",,,Bluffton,SC,"Beaufort County",29910,US,Beaufort,gcod_usnrz5krnkk6976h7pyjmw9x6t2kc
"Shuckin Shack - Summerville (CHS)","114 Central Avenue",Summerville,SC,29483,"Rusty Bull Brewing Company",33.019152,-80.177414,1,rooftop,"114 Central Ave",,"Summerville, SC 29483",114,"Central Ave",,,Summerville,SC,"Dorchester County",29483,US,"Charleston County GIS",gcod_usnlvt3btrpvd565g9lvwqn7ubt3f
"Doubletree Airport (CHS)","7401 Northwoods Boulevard","North Charleston",SC,29406,"Rusty Bull Brewing Company",32.935947,-80.046973,1,rooftop,"7401 Northwoods Blvd",,"North Charleston, SC 29406",7401,"Northwoods Blvd",,,"North Charleston",SC,"Charleston County",29406,US,"Charleston County GIS",gcod_usnatrhcmmbxmpqaqbezqqbn9tfz5
"Sweetwater Cafe, Inc. (CHS)","123 West Richardson Avenue",Summerville,SC,29483,"Rusty Bull Brewing Company",33.019506,-80.176564,1,rooftop,"123 W Richardson Ave",,"Summerville, SC 29483",123,"W Richardson Ave",,,Summerville,SC,"Dorchester County",29483,US,"Charleston County GIS",gcod_usnas695qq4tgmbf4au8k94jfeff3
"Spring Hill Suites - Ripley Point (CHS)","98 Ripley Point Drive",Charleston,SC,29407,"Rusty Bull Brewing Company",32.778179,-79.963694,1,rooftop,"98 Ripley Point Dr",,"Charleston, SC 29407",98,"Ripley Point Dr",,,Charleston,SC,"Charleston County",29407,US,"Charleston County GIS",gcod_usngxmutxzcltgvhllcxaecm3skff
"Swig & Swine - Moncks Corner (CHS)","547 Reid Hill Road","Moncks Corner",SC,29461,"Rusty Bull Brewing Company",33.214219,-79.980744,1,rooftop,"547 Reid Hill Rd",,"Moncks Corner, SC 29461",547,"Reid Hill Rd",,,"Moncks Corner",SC,"Berkeley County",29461,US,"Statewide SC",gcod_usnhjaupghech3j2jnf83k87zkmjh
"Bonefish Grill - Tanger (CHS)","5041 International Boulevard","North Charleston",SC,29418,"Rusty Bull Brewing Company",32.866358,-80.016193,1,rooftop,"5041 International Blvd",,"North Charleston, SC 29418",5041,"International Blvd",,,"North Charleston",SC,"Charleston County",29418,US,"Charleston County GIS",gcod_usnl87s96erxaavhful2vm38afa79
"Coastal Marina (CHS)","50 Immigration Street",Charleston,SC,29403,"Rusty Bull Brewing Company",32.802006,-79.931929,1,rooftop,"50 Immigration St",,"Charleston, SC 29403",50,"Immigration St",,,Charleston,SC,"Charleston County",29403,US,"Charleston County GIS",gcod_usndvwj249kpfl2dfawr6faqq5357
"Dinghy (CHS)","8 J C Long Blvd","Isle Of Palms",SC,29451,"Rusty Bull Brewing Company",32.785383,-79.789906,1,rooftop,"8 J C Long Blvd",,"Isle of Palms, SC 29451",8,"J C Long Blvd",,,"Isle of Palms",SC,"Charleston County",29451,US,"Statewide SC",gcod_usn9c8f3rfd5r26cs4bp67m9zdb68
"Latitude Margaritaville (CHS)","3295 Latitude Blvd",Hardeeville,SC,29927,"Rusty Bull Brewing Company",32.284586,-81.01182,1,rooftop,"3295 Latitude Blvd",,"Hardeeville, SC 29927",3295,"Latitude Blvd",,,Hardeeville,SC,"Jasper County",29927,US,Jasper,gcod_usnjayght2gfzdyh2nljpns5e2c59
"Top Dawg Tavern - Sville (CHS)","9512 Dorchester Road",Summerville,SC,29485,"Rusty Bull Brewing Company",32.937212,-80.141709,1,rooftop,"9512 Dorchester Rd",,"Summerville, SC 29485",9512,"Dorchester Rd",,,Summerville,SC,"Dorchester County",29485,US,"Statewide SC",gcod_usn8h8gaawezstt3e53uhhl3jw549
"Swig & Swine - West Ashley (CHS)","1217 Savannah Highway",Charleston,SC,29407,"Rusty Bull Brewing Company",32.78379,-79.997843,1,rooftop,"1217 Savannah Hwy",,"Charleston, SC 29407",1217,"Savannah Hwy",,,Charleston,SC,"Charleston County",29407,US,"Charleston County GIS",gcod_usn84spdtwcpkaeb47gy9kqy97w65
"Gene's Haufbrau - Avondale (CHS)","817 Savannah Highway",Charleston,SC,29407,"Rusty Bull Brewing Company",32.781874,-79.985867,1,rooftop,"817 Savannah Hwy",,"Charleston, SC 29407",817,"Savannah Hwy",,,Charleston,SC,"Charleston County",29407,US,"Charleston County GIS",gcod_usn84spdtwcpkaebwf3fnnx6mcctf
"Fratello's - Park Circle (CHS)","1050 East Montague Avenue","North Charleston",SC,29405,"Rusty Bull Brewing Company",32.881783,-79.97581,1,rooftop,"1050 E Montague Ave",,"North Charleston, SC 29405",1050,"E Montague Ave",,,"North Charleston",SC,"Charleston County",29405,US,"Charleston County GIS",gcod_usnd57utpkg2zx45hy9x2nsn72fu4
"River Course - Kiawah (CHS)","10 River Course Lane","Kiawah Island",SC,29455,"Rusty Bull Brewing Company",32.61182,-80.099334,1,rooftop,"10 River Course Ln",,"Johns Island, SC 29455",10,"River Course Ln",,,"Johns Island",SC,"Charleston County",29455,US,"Statewide SC",gcod_usnf3k6ethev5j8euzmy7ryy8j378
"Art's (CHS)","413 Coleman Boulevard","Mount Pleasant",SC,29464,"Rusty Bull Brewing Company",32.790378,-79.875337,1,rooftop,"413 Coleman Blvd",,"Mount Pleasant, SC 29464",413,"Coleman Blvd",,,"Mount Pleasant",SC,"Charleston County",29464,US,"Charleston County GIS",gcod_usnstsra729yz4t4z56qmbj96yxj9
"Roxbury Mercantile, Llc (CHS)","4398 Highway 174",Hollywood,SC,29449,"Rusty Bull Brewing Company",32.675518,-80.347557,1,rooftop,"4398 State Highway 174",,"Hollywood, SC 29449",4398,"State Highway 174",,,Hollywood,SC,"Charleston County",29449,US,"Statewide SC",gcod_usncukvpbkmy2k57bghxs6uqrlvp7
"Big Billy's Burger Joint (CHS)","5070 International Boulevard","North Charleston",SC,29418-6006,"Rusty Bull Brewing Company",32.868283,-80.016906,1,rooftop,"5070 International Blvd",,"North Charleston, SC 29418",5070,"International Blvd",,,"North Charleston",SC,"Charleston County",29418,US,"Charleston County GIS",gcod_usnl87s96erxaavhuahjdsrakw2a3
