Retailer,Address,Postal Code,City,State,Supplier,Brand Name,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source,Geocodio Stable Address Key
Muse (CHS),82 Society Street,29401,Charleston,SC,Island Brands,Island Active,32.783577,-79.933594,1,rooftop,82 Society St,"Charleston, SC 29401",82,Society St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usnw8shep9xxmy5gjnfa5aby6h7ha
The Clubhouse (CHS),476 Meeting Street,29403,Charleston,SC,Island Brands,Island Active,32.795693,-79.939704,1,rooftop,476 Meeting St,"Charleston, SC 29403",476,Meeting St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usnjbtkxpk6sfw962u9pdv7uy5a58
The Establishment (CHS),28 Broad Street,29401,Charleston,SC,Island Brands,Island Active,32.776912,-79.928304,1,rooftop,28 Broad St,"Charleston, SC 29401",28,Broad St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usnn2jeyly2jsujb988avw2fhvz6h
Sunset Pizzeria (CHS),2625 North Okatie Highway,29936,Ridgeland,SC,Island Brands,Island Active,32.336349,-80.929029,1,rooftop,2625 N Okatie Hwy,"Ridgeland, SC 29936",2625,N Okatie Hwy,,,Ridgeland,SC,Jasper County,29936,US,Jasper,gcod_usn9xzbeup4uqt83pbxl525u7lh48
Saltwater Cowboys (CHS),130 Mill Street,29464,Mount Pleasant,SC,Island Brands,Island Active,32.791552,-79.881882,1,rooftop,130 Mill St,"Mount Pleasant, SC 29464",130,Mill St,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnjsyjpx3chj324d59t6p63d4u9e
Coastal Marina (CHS),50 Immigration Street,29403,Charleston,SC,Island Brands,Island Active,32.802006,-79.931929,1,rooftop,50 Immigration St,"Charleston, SC 29403",50,Immigration St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usndvwj249kpfl2dfawr6faqq5357
The Longboard (CHS),2213 Middle Street,29482,Sullivans Island,SC,Island Brands,Island Active,32.762675,-79.836263,1,rooftop,2213 Middle St,"Sullivans Island, SC 29482",2213,Middle St,,,Sullivans Island,SC,Charleston County,29482,US,Statewide SC,gcod_usnyjfwp23bczmgakdq37echd8nlg
Mac 's Daniel Island (CHS),259 Seven Farms Drive,29492-7553,Daniel Island,SC,Island Brands,Island Active,32.858987,-79.909838,1,rooftop,259 7 Farms Dr,"Charleston, SC 29492",259,7 Farms Dr,,,Charleston,SC,Berkeley County,29492,US,Berkeley,gcod_usnqr5pfvu9erlv9r73qslvjvuvjh
Brick (CHS),24 Ann Street,29401,Charleston,SC,Island Brands,Island Active,32.7901,-79.937264,0.99,rooftop,24 Ann St,"Charleston, SC 29403",24,Ann St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usny2yqsaeyugm94qfazsuk87pmad
Hotel Indigo (CHS),250 Johnnie Dodds Boulevard,29464,Mount Pleasant,SC,Island Brands,Island Active,32.802938,-79.8967,1,rooftop,250 Johnnie Dodds Blvd,"Mount Pleasant, SC 29464",250,Johnnie Dodds Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnjz6pduu3pt2afel43ugjteclld
Lumber Jills (CHS),4650 Ladson Road,29485,Summerville,SC,Island Brands,Island Active,32.954107,-80.162233,1,rooftop,4650 Ladson Rd,"Summerville, SC 29485",4650,Ladson Rd,,,Summerville,SC,Dorchester County,29485,US,Statewide SC,gcod_usnmgr77dkcx6b3g2kf7thfuenjme
Municipal Golf - Maybank (CHS),2110 Maybank Highway,29412,Charleston,SC,Island Brands,Island Active,32.756479,-79.994775,1,rooftop,2110 Maybank Hwy,"Charleston, SC 29412",2110,Maybank Hwy,,,Charleston,SC,Charleston County,29412,US,Charleston County GIS,gcod_usnhlgspal559gt9zg69rbs45ds93
Mac's Place (CHS),215 East Bay Sreet,29401,Charleston,SC,Island Brands,Island Active,32.780644,-79.927454,1,rooftop,215 E Bay St,"Charleston, SC 29401",215,E Bay St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usncncrkar7hbeedqvzsjvfnmpjn7
Daniel Island Ferry Boat (CHS),10 Wharfside Street,29403,Charleston,SC,Island Brands,Island Active,32.788317,-79.925198,0.99,rooftop,10 Wharfside St,"Charleston, SC 29401",10,Wharfside St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usnhucjacc7yq2ee75v3275765rv9
Cutty's - St Philip (CHS),227 Saint Philip Street,29403,Charleston,SC,Island Brands,Island Active Variety Pack,32.793345,-79.943328,1,rooftop,227 St Philip St,"Charleston, SC 29403",227,St Philip St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usny75muq43pnjdb99rfdawgxpnx9
Nantucket Market - Bluffton (CHS),1414 Fording Island Road,29910,Bluffton,SC,Island Brands,Island Active Variety Pack,32.240355,-80.817683,1,rooftop,1414 US-278,"Bluffton, SC 29910",1414,US-278,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usncty3nzmya4rz42w4bzj2fd7jz9
"Sweetwater Cafe, Inc. (CHS)",123 West Richardson Avenue,29483,Summerville,SC,Island Brands,Island Chill Lemon Lime,33.019506,-80.176564,1,rooftop,123 W Richardson Ave,"Summerville, SC 29483",123,W Richardson Ave,,,Summerville,SC,Dorchester County,29483,US,Charleston County GIS,gcod_usnas695qq4tgmbf4au8k94jfeff3
Codfather - Park Circle (CHS),4254 Spruill Avenue,29405,North Charleston,SC,Island Brands,Island Chill Strawberry Mango,32.87239,-79.979824,1,rooftop,4254 Spruill Ave,"North Charleston, SC 29405",4254,Spruill Ave,,,North Charleston,SC,Charleston County,29405,US,Charleston County GIS,gcod_usnnmyzuqn3225hhz8mjzq9fgh433
The Landing At Pleasant Point (CHS),8 Barnwell Drive,29907,Beaufort,SC,Island Brands,Island Chill Strawberry Mango,32.473276,-80.678977,1,rooftop,8 Barnwell Dr,"Beaufort, SC 29907",8,Barnwell Dr,,,Beaufort,SC,Beaufort County,29907,US,Beaufort,gcod_usn7wbdpuq5bjae26m5nz9pejtv3c
St Johns Yacht - Maybank (CHS),2408 Maybank Highway,29455,Johns Island,SC,Island Brands,Island Chill Strawberry Mango,32.753405,-80.013324,1,rooftop,2408 Maybank Hwy,"Johns Island, SC 29455",2408,Maybank Hwy,,,Johns Island,SC,Charleston County,29455,US,Charleston County GIS,gcod_usn4bxjjv5r333f3ayfg52yybrka5
Mix (CHS),730 Coleman Boulevard,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.792921,-79.868456,1,rooftop,730 Coleman Blvd,"Mount Pleasant, SC 29464",730,Coleman Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnstsra729yz4t4x4bcqvuznv9gh
Crave-Mt Pleasant (CHS),1968 Riviera Drive,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.821933,-79.816527,1,rooftop,1968 Riviera Dr,"Mount Pleasant, SC 29464",1968,Riviera Dr,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usn9k9nyzstxbqqdabrf765urcjb9
Dig In Park Circle (CHS),1049 East Montague Avenue,29405,North Charleston,SC,Island Brands,Island Coastal Lager,32.881246,-79.975903,1,rooftop,1049 E Montague Ave,"North Charleston, SC 29405",1049,E Montague Ave,,,North Charleston,SC,Charleston County,29405,US,Charleston County GIS,gcod_usnd57utpkg2zx45ktreqhepkuzkg
Tommy Condon's Irish Pub (CHS),160 Church Street,29401,Charleston,SC,Island Brands,Island Coastal Lager,32.780223,-79.929394,1,rooftop,160 Church St,"Charleston, SC 29401",160,Church St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usnhsulg398axrx2gueysvhxg8r62
Blind Tiger Pub (CHS),36-38 Broad Street,29401,Charleston,SC,Island Brands,Island Coastal Lager,32.77685,-79.928685,0.99,rooftop,36 Broad St,"Charleston, SC 29401",36,Broad St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usnn2jeyly2jsujb5m872ww9gxgb9
Hometeam BBQ - West Ashley (CHS),1205 Ashley River Road,29407,Charleston,SC,Island Brands,Island Coastal Lager,32.796967,-79.99767,1,rooftop,1205 Ashley River Rd,"Charleston, SC 29407",1205,Ashley River Rd,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usna2372jezulbreuy883rkh6jlp2
Neighborhood Tap House - Summerville (CHS),2465 North Main Street,29486,Summerville,SC,Island Brands,Island Coastal Lager,33.055379,-80.099615,1,rooftop,2465 N Main St,"Summerville, SC 29486",2465,N Main St,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usnrp9fr68yydlh9qcwc3b2m7gmte
Windjammer (CHS),1008 Ocean Boulevard,29451,Isle Of Palms,SC,Island Brands,Island Coastal Lager,32.784618,-79.790114,1,rooftop,1008 Ocean Blvd,"Isle of Palms, SC 29451",1008,Ocean Blvd,,,Isle of Palms,SC,Charleston County,29451,US,Statewide SC,gcod_usn9wdmyvjg9m486h8qk9tr5857l8
Mill Street Tavern (CHS),504 Mill Street,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.792223,-79.878275,1,range_interpolation,504 Mill St,"Mount Pleasant, SC 29464",504,Mill St,,,Mount Pleasant,SC,Charleston County,29464,US,TIGER/Line® from the US Census Bureau,gcod_usnjsyjpx3chj324butnmk4adbs9g
Lowdown Oven & Bar (CHS),967 Folly Road,29412,Charleston,SC,Island Brands,Island Coastal Lager,32.730659,-79.969248,1,rooftop,967 Folly Rd,"Charleston, SC 29412",967,Folly Rd,,,Charleston,SC,Charleston County,29412,US,Statewide SC,gcod_usn8vewwym3yhyn4vy8xnefrxbzh8
Coconut Joes - Folly (CHS),11 Center Street,29439,Folly Beach,SC,Island Brands,Island Coastal Lager,32.655451,-79.941113,1,rooftop,11 Center St,"Folly Beach, SC 29439",11,Center St,,,Folly Beach,SC,Charleston County,29439,US,Statewide SC,gcod_usnv3klw4pdqne2akm57bqhufk9d9
All American Sports Bar (CHS),545 Belle Station Boulevard,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.843088,-79.854119,1,rooftop,545 Belle Station Blvd,"Mount Pleasant, SC 29464",545,Belle Station Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnenge7lprgvuvamrhh55be5ecd3
Montreux Bar & Grill (CHS),127 West Richardson,29483,Summerville,SC,Island Brands,Island Coastal Lager,33.019656,-80.176813,1,rooftop,127 W Richardson Ave,"Summerville, SC 29483",127,W Richardson Ave,,,Summerville,SC,Dorchester County,29483,US,Charleston County GIS,gcod_usnas695qq4tgmbfqr79qn4rzvu34
Ty's Roadside Coastal Kitchen (CHS),713 Coleman Boulevard,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.792158,-79.86905,1,rooftop,713 Coleman Blvd,"Mount Pleasant, SC 29464",713,Coleman Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnstsra729yz4t45lbh7x75f5q5g
My Fathers Moustache - Mt P (CHS),1405 Ben Sawyer Boulevard,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.79236,-79.855803,1,rooftop,1405 Ben Sawyer Blvd,"Mount Pleasant, SC 29464",1405,Ben Sawyer Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usn4drgl74yfzeshsn99xtn3krqda
Palmetto Flats (CHS),975 Bacons Bridge Road,29485,Summerville,SC,Island Brands,Island Coastal Lager,32.996248,-80.18425,1,rooftop,975 Bacons Bridge Rd,"Summerville, SC 29485",975,Bacons Bridge Rd,,,Summerville,SC,Dorchester County,29485,US,Charleston County GIS,gcod_usnsgtwky75r2bfdmueqhavg6hn86
Bohemian Bull - James Island (CHS),1531 Folly Road,29412,Charleston,SC,Island Brands,Island Coastal Lager,32.708256,-79.964436,1,rooftop,1531 Folly Rd,"Charleston, SC 29412",1531,Folly Rd,,,Charleston,SC,Charleston County,29412,US,Charleston County GIS,gcod_usn8vewwym3yhyn4q22dju7grhw85
Salty Dog-Bluffton (CHS),1414 Fording Island Road,29910-8636,Bluffton,SC,Island Brands,Island Coastal Lager,32.240355,-80.817683,1,rooftop,1414 US-278,"Bluffton, SC 29910",1414,US-278,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usncty3nzmya4rz42w4bzj2fd7jz9
T-Bonz-Downtown (CHS),80 North Market Street,29401,Charleston,SC,Island Brands,Island Coastal Lager,32.78109,-79.930113,1,rooftop,80 N Market St,"Charleston, SC 29401",80,N Market St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usn4rrfw3xuth5ac7kts7kjd6wmt4
Jinya Ramen - Morrison (CHS),850 Morrison Drive,29403,Charleston,SC,Island Brands,Island Coastal Lager,32.803131,-79.938568,1,rooftop,850 Morrison Dr,"Charleston, SC 29403",850,Morrison Dr,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usnktvqnw4amjm34uzlrsys4m2sl2
Sesame - Mt P (CHS),675 Johnnie Dodds Boulevard,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.807126,-79.878413,1,rooftop,675 Johnnie Dodds Blvd,"Mount Pleasant, SC 29464",675,Johnnie Dodds Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnjz6pduu3pt2af3t7ypzx2zdpqa
Moe's Crosstown Tavern - Rutledge (CHS),714 Rutledge Avenue,29403,Charleston,SC,Island Brands,Island Coastal Lager,32.802254,-79.952868,1,rooftop,714 Rutledge Ave,"Charleston, SC 29403",714,Rutledge Ave,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usnx6uj7zngdtza84bucwbtr7m52c
Beach Club (CHS),300 Tarpon Boulevard,29920,Fripp Island,SC,Island Brands,Island Coastal Lager,32.315586,-80.479077,1,rooftop,300 Tarpon Blvd,"Saint Helena Island, SC 29920",300,Tarpon Blvd,,,Saint Helena Island,SC,Beaufort County,29920,US,Beaufort,gcod_usnqj84w7bbqd5a3m2q77jzngp7ph
Moxy Charleston (CHS),547 Meeting Street,29403,Charleston,SC,Island Brands,Island Coastal Lager,32.799429,-79.942822,1,rooftop,547 Meeting St,"Charleston, SC 29403",547,Meeting St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usnjbtkxpk6sfw96u6n4z6hg4bc4e
Cantaritos Mexican Kitchen (CHS),214 Okatie Village Drive,29909,Okatie,SC,Island Brands,Island Coastal Lager,32.295596,-80.944109,1,rooftop,214 Okatie Village Dr,"Okatie, SC 29909",214,Okatie Village Dr,,,Okatie,SC,Beaufort County,29909,US,Beaufort,gcod_usnuwqhchtncauff3en6c25ntpvp7
Kersey House (CHS),117 West Luke Avenue,29483,Summerville,SC,Island Brands,Island Coastal Lager,33.021051,-80.175402,1,rooftop,117 W Luke Ave,"Summerville, SC 29483",117,W Luke Ave,,,Summerville,SC,Dorchester County,29483,US,Charleston County GIS,gcod_usn5ag9pqcd5z4tf2v4q6yfjnt487
Rodney Scotts BBQ (CHS),1011 King Street,29403,Charleston,SC,Island Brands,Island Coastal Lager,32.80343,-79.951308,1,rooftop,1011 King St,"Charleston, SC 29403",1011,King St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usn2dwm2dywj3juazjhad5gtnpmfa
Art's (CHS),413 Coleman Boulevard,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.790378,-79.875337,1,rooftop,413 Coleman Blvd,"Mount Pleasant, SC 29464",413,Coleman Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnstsra729yz4t4z56qmbj96yxj9
Oyster Reef (CHS),155 High Bluff Road,29926-1847,Hilton Head Island,SC,Island Brands,Island Coastal Lager,32.243772,-80.714175,1,rooftop,155 High Bluff Rd,"Hilton Head Island, SC 29926",155,High Bluff Rd,,,Hilton Head Island,SC,Beaufort County,29926,US,Beaufort,gcod_usndejw2mw2vw7x6nxc96a5hjx7mg
Rotolos (CHS),420 Cross Park Lane,29486,Summerville,SC,Island Brands,Island Coastal Lager,33.061039,-80.150653,1,rooftop,420 Cross Park Ln,"Summerville, SC 29486",420,Cross Park Ln,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usnjxpyd4takwbgdhle2pehvfkjq6
Griffon (CHS),18 Vendue Range,29401,Charleston,SC,Island Brands,Island Coastal Lager,32.778985,-79.926219,1,rooftop,18 Vendue Range,"Charleston, SC 29401",18,Vendue Range,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usnjjq9g7q5s39b84pazpy4c63nj6
Chas Beer Works (CHS),480 King Street,29403,Charleston,SC,Island Brands,Island Coastal Lager,32.790143,-79.939046,1,rooftop,480 King St,"Charleston, SC 29403",480,King St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usn2dwm2dywj3juasvx2mg94c9tw2
Mellow Mushroom-Bluffton (CHS),878 Fording Island Road,29910-8678,Bluffton,SC,Island Brands,Island Coastal Lager,32.266011,-80.861058,1,rooftop,878 US-278,"Bluffton, SC 29910",878,US-278,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usncty3nzmya4rz4lmy58xxel9myh
Woodward Tavern (CHS),1971 Riveria Drive,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.821492,-79.816627,1,rooftop,1971 Riviera Dr,"Mount Pleasant, SC 29464",1971,Riviera Dr,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usn9k9nyzstxbqqdnl8ke89yxpgn7
Wescott Plantation (CHS),5000 Wescott Club Drive,29485,Summerville,SC,Island Brands,Island Coastal Lager,32.945563,-80.138214,1,rooftop,5000 Wescott Club Dr,"Summerville, SC 29485",5000,Wescott Club Dr,,,Summerville,SC,Dorchester County,29485,US,Statewide SC,gcod_usnc7x4npzgwny935wywebt5up3wa
Charleston Sports Pub-Mt Pleasant (CHS),1909 Highway 17 North,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.831361,-79.827203,1,rooftop,1909 Highway 17,"Mount Pleasant, SC 29464",1909,Highway 17,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnd45597cgx27k5lhxnq8qadcbr5
Jinya Ramen Bar (CHS),95 Mathews Drive F 3-5,29926,Hilton Head Island,SC,Island Brands,Island Coastal Lager,32.21104,-80.700752,1,rooftop,95 Mathews Dr,"Hilton Head Island, SC 29926",95,Mathews Dr,Ste,B5,Hilton Head Island,SC,Beaufort County,29926,US,Beaufort,gcod_usnnp5hl2mq29fvaut28rzm9uyup4
Ashley Lanes Tavern (CHS),1568 Sam Rittenberg Boulevard,29407,Charleston,SC,Island Brands,Island Coastal Lager,32.808061,-80.008386,1,rooftop,1568 Sam Rittenberg Blvd,"Charleston, SC 29407",1568,Sam Rittenberg Blvd,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usngraghaq6me4f9k88rjshqkaqf4
Fin & Crab Salty Mikes (CHS),9 Lockwood Drive,29401,Charleston,SC,Island Brands,Island Coastal Lager,32.778683,-79.950305,1,rooftop,9 Lockwood Dr,"Charleston, SC 29401",9,Lockwood Dr,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usnfcvwscm8as8yf3kgm8frh5ewq9
Neighborhood Tap House - A Phos (CHS),5101 Ashley Phosphate Rd #101,29418,North Charleston,SC,Island Brands,Island Coastal Lager,32.915686,-80.099597,1,rooftop,5101 Ashley Phosphate Rd,"North Charleston, SC 29418",5101,Ashley Phosphate Rd,Ste,101,North Charleston,SC,Dorchester County,29418,US,Statewide SC,gcod_usnbye2wmwgmxmtc9yu2ywpbhxj59
Edisto Island Yacht Club (CHS),3768 Docksite Road,29438,Edisto Island,SC,Island Brands,Island Coastal Lager,32.492353,-80.327862,1,rooftop,3768 Dock Site Rd,"Edisto Island, SC 29438",3768,Dock Site Rd,,,Edisto Island,SC,Colleton County,29438,US,Colleton County,gcod_usnwus26544mt9lexw2qtjv8l97z7
Gilligan's-Main/17 (CHS),160-A Main Road,29455,Johns Island,SC,Island Brands,Island Coastal Lager,32.798189,-80.109272,1,rooftop,160 Main Rd,"Johns Island, SC 29455",160,Main Rd,,,Johns Island,SC,Charleston County,29455,US,Statewide SC,gcod_usnukbeh6qvvuhp7ezsmeul56eaje
Emeline Hotel (CHS),181 Church Street,29401,Charleston,SC,Island Brands,Island Coastal Lager,32.781359,-79.929773,1,rooftop,181 Church St,"Charleston, SC 29401",181,Church St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usnhsulg398axrx2pqyvnqsywuqb8
Triangle - Avondale (CHS),828 Savannah Highway,29407,Charleston,SC,Island Brands,Island Coastal Lager,32.782508,-79.986952,1,rooftop,828 Savannah Hwy,"Charleston, SC 29407",828,Savannah Hwy,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usn84spdtwcpkaebx99f3j8cynana
CHS Airport – Delaware (CHS),5500 International Boulevard,29418-6900,Charleston,SC,Island Brands,Island Coastal Lager,32.884199,-80.034632,1,rooftop,5500 International Blvd,"North Charleston, SC 29418",5500,International Blvd,,,North Charleston,SC,Charleston County,29418,US,Charleston County GIS,gcod_usnl87s96erxaavhkz2slylhk3jt5
Buffalo Wild Wings - Mt P (CHS),715 Johnnie Dodds Boulevard,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.808484,-79.875876,1,rooftop,715 Johnnie Dodds Blvd,"Mount Pleasant, SC 29464",715,Johnnie Dodds Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnjz6pduu3pt2afpkxhy5mkcth5c
Ralphies Pizza - Ridgeland (CHS),61 Riverwalk Boulevard,29936,Ridgeland,SC,Island Brands,Island Coastal Lager,32.320704,-80.936498,1,rooftop,61 Riverwalk Blvd,"Ridgeland, SC 29936",61,Riverwalk Blvd,,,Ridgeland,SC,Jasper County,29936,US,Jasper,gcod_usnq4jxf3gjj4fkdzk96dqkkqv5j4
Patriots Point Links (CHS),1 Patriots Point Road,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.787711,-79.898739,1,rooftop,1 Patriots Point Rd,"Mount Pleasant, SC 29464",1,Patriots Point Rd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnnxr62b4pg664fnqufvdnjwjuh3
Red Drum (CHS),803 Coleman Boulevard,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.792974,-79.865911,1,rooftop,803 Coleman Blvd,"Mount Pleasant, SC 29464",803,Coleman Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnstsra729yz4t4tyx55hmw7pax2
Q On Bay (CHS),822 Bay Street,29902-5566,Beaufort,SC,Island Brands,Island Coastal Lager,32.430681,-80.671566,1,rooftop,822 Bay St,"Beaufort, SC 29902",822,Bay St,,,Beaufort,SC,Beaufort County,29902,US,Beaufort,gcod_usnmenusalcargu4fpfjwb773gzn2
Marriott- HHI Barony (CHS),4 Grasslawn Avenue,29928-5583,Hilton Head Island,SC,Island Brands,Island Coastal Lager,32.210083,-80.682399,1,rooftop,4 Grasslawn Ave,"Hilton Head Island, SC 29928",4,Grasslawn Ave,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usn7sxjwrhq6pmr7dyple2s6w3cm4
Uptown Social (CHS),587 King Street,29403,Charleston,SC,Island Brands,Island Coastal Lager,32.792621,-79.94119,1,rooftop,587 King St,"Charleston, SC 29403",587,King St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usn2dwm2dywj3juasjb3nbsf4fnp5
Acme Cafe (CHS),31 J C Long Boulevard,29451,Isle Of Palms,SC,Island Brands,Island Coastal Lager,32.786448,-79.790063,1,rooftop,31 J C Long Blvd,"Isle of Palms, SC 29451",31,J C Long Blvd,,,Isle of Palms,SC,Charleston County,29451,US,Statewide SC,gcod_usn9c8f3rfd5r26c7f5kanazczjgg
Easton Porter (CHS),80A Cannon Street,29401,Charleston,SC,Island Brands,Island Coastal Lager,32.789918,-79.945647,0.99,rooftop,80 Cannon St,"Charleston, SC 29403",80,Cannon St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usn44s39ejd8gqphgh8kj39e63wcd
Hotel Bennett (CHS),404 King Street,29403,Charleston,SC,Island Brands,Island Coastal Lager,32.787209,-79.936992,1,rooftop,404 King St,"Charleston, SC 29403",404,King St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usn2dwm2dywj3juahupfw3uwcnpzd
CHS Sports Book - Tanger (CHS),4950 Centre Pointe Drive,29418,North Charleston,SC,Island Brands,Island Coastal Lager,32.875919,-80.021785,1,rooftop,4950 Centre Pointe Dr,"North Charleston, SC 29418",4950,Centre Pointe Dr,,,North Charleston,SC,Charleston County,29418,US,Charleston County GIS,gcod_usnlfqaank5hbd4adctaak4fhqjr4
Gene's Haufbrau - Avondale (CHS),817 Savannah Highway,29407,Charleston,SC,Island Brands,Island Coastal Lager,32.781874,-79.985867,1,rooftop,817 Savannah Hwy,"Charleston, SC 29407",817,Savannah Hwy,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usn84spdtwcpkaebwf3fnnx6mcctf
Dinghy (CHS),8 J C Long Blvd,29451,Isle Of Palms,SC,Island Brands,Island Coastal Lager,32.785383,-79.789906,1,rooftop,8 J C Long Blvd,"Isle of Palms, SC 29451",8,J C Long Blvd,,,Isle of Palms,SC,Charleston County,29451,US,Statewide SC,gcod_usn9c8f3rfd5r26cs4bp67m9zdb68
Tru Hilton Mt Pleasant (CHS),1651 Midtown Avenue,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.819703,-79.838551,1,rooftop,1651 Midtown Ave,"Mount Pleasant, SC 29464",1651,Midtown Ave,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnendd6env6m2x5dbzeth3wyat28
Pearlz II - Avondale (CHS),9 Magnolia Road,29407,Charleston,SC,Island Brands,Island Coastal Lager,32.782331,-79.98591,1,rooftop,9 Magnolia Rd,"Charleston, SC 29407",9,Magnolia Rd,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usn9t5wkxys94er4tevczek755jb5
West Beach Conference - Kiawah (CHS),2 Shipwatch Road,29455,Kiawah Island,SC,Island Brands,Island Coastal Lager,32.592744,-80.121724,1,rooftop,2 Shipwatch Rd,"Johns Island, SC 29455",2,Shipwatch Rd,,,Johns Island,SC,Charleston County,29455,US,Statewide SC,gcod_usn6lfleucnkfrjerdg79d95qhnz9
Home2Suites Mt. Pleasant (CHS),1650 James Nelson Road,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.830428,-79.835515,1,rooftop,1650 James Nelson Rd,"Mount Pleasant, SC 29464",1650,James Nelson Rd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnjun3hq6pp8dngmarfzlq5n9ha8
Outside Ohana (CHS),50 Shelter Cove Lane,29928,Hilton Head Island,SC,Island Brands,Island Coastal Lager,32.186665,-80.716827,1,rooftop,50 Shelter Cove Ln,"Hilton Head Island, SC 29928",50,Shelter Cove Ln,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usnvtffm9w76pa44ap9a3kjgltb2f
